Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
50,Chicago State,32,4,28,.125,-20.79,-4.64,,4,12,,3,7,,1,19,,2001,2518,,69.0,90.0,.268,.409,.478,43.1,48.5,10.6,10.2,.444,16.4,22.6,.189
51,Cincinnati,33,18,15,.545,14.58,9.76,,7,13,,12,5,,4,9,,2328,2169,,66.1,106.7,.234,.381,.528,50.7,50.9,11.1,11.7,.509,13.3,32.3,.156
52,Clemson NCAA,33,27,6,.818,18.50,7.84,,18,2,,15,2,,9,3,,2519,2167,,65.0,114.8,.282,.384,.568,52.2,52.3,11.3,10.4,.536,13.5,33.7,.216
53,Cleveland State,33,21,12,.636,-1.88,-4.04,,14,6,,14,4,,7,7,,2403,2178,,66.8,108.5,.303,.328,.537,50.8,52.2,13.0,14.9,.505,14.8,35.4,.220
54,Coastal Carolina,32,10,22,.313,-12.04,-5.84,,3,15,,6,8,,3,13,,2136,2275,,64.4,103.2,.344,.399,.531,51.5,49.6,5.1,4.5,.497,16.0,29.4,.241
55,Colgate,33,14,19,.424,-7.47,-6.16,,10,8,,10,4,,4,13,,2379,2388,,66.9,106.9,.228,.425,.566,49.2,52.6,9.5,6.9,.544,15.0,24.0,.167
56,College of Charleston,33,24,9,.727,-0.32,-3.11,,13,5,,13,2,,7,5,,2549,2437,,70.3,108.3,.348,.399,.557,50.1,58.9,9.1,6.2,.525,14.2,26.6,.249
57,Colorado,34,14,20,.412,10.52,12.07,,3,17,,11,7,,0,10,,2377,2430,,68.2,101.8,.363,.373,.548,51.4,58.4,10.3,11.1,.506,18.5,28.9,.274
58,Colorado State NCAA,34,25,9,.735,13.90,5.75,,16,4,,14,2,,7,4,,2558,2281,,66.3,112.2,.318,.428,.592,52.4,62.8,7.6,8.0,.558,15.5,26.4,.246
59,Columbia,27,12,15,.444,-8.94,-5.46,,1,13,,9,6,,3,9,,2117,2109,,71.2,110.1,.290,.398,.562,50.3,61.0,10.9,5.9,.533,13.5,27.5,.213
